,strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
265,Gin Fizz,42980.52051,11410,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xhl8q31504351772.jpg,Highball glass,Unforgettables,Gin,,,,,,,Lemon,Powdered sugar,Carbonated water,,,,,,"Shake all ingredients with ice count, except soda water. Pour into glass. Top with soda water.",2 oz ,,,,,,,0.5 count,1 tsp ,,,,,,,
266,Gin Rickey,42986.67992,17230,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg,Highball glass,,Gin,,,,,,,Grenadine,lemon,Soda Water,Lime,,,,,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,2 oz ,,,,,,,1 tsp ,0.5 count,Top up with,Garnish,"
","
",,,
267,Gin Sling,42986.67407,11415,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/h8wmm41504883440.jpg,Old-fashioned glass,,Gin,,,,,,,Lemon,Powdered sugar,Water,Orange peel,,,,,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice count and stir. Add the twist of orange peel and serve.,2 oz , ,,,,,,0.5 count,1 tsp ,1 tsp ,Twist of , , , , ,
268,Gin Smash,42986.67657,11416,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/hp41fi1504883656.jpg,Old-fashioned glass,,Gin,,,,,,,Carbonated water,Sugar,Mint,Orange,Cherry,,,,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",2 oz , , ,,,,,1 oz ,1 cube ,4,1 slice ,1, , , ,
269,Gin Sour,42986.67503,11417,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/mt7l7m1504883523.jpg,Whiskey sour glass,,Gin,,,,,,,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,"In a shaker half-filled with ice count, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",2 oz , ,,,,,,1 oz ,0.5 tsp superfine ,1,1, , , , ,
270,Gin Squirt,42986.67711,11418,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg,Highball glass,,Gin,,,,,,,Grenadine,Powdered sugar,Pineapple,Strawberries,Carbonated water,,,,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice count. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",0.5 oz ,"
","
",,,,,1 tsp ,1 tblsp ,3 chunks ,2,"
","
","
","
",
271,Gin Swizzle,42986.68086,11419,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg,Highball glass,,Lime juice,,,,,,,Sugar,Gin,Bitters,Club soda,,,,,"In a shaker half-filled with ice count, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice count. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",0.5 oz , ,,,,,,1 tsp superfine ,2 oz ,1 dash ,3 oz , , , , ,
272,Gin Toddy,42985.94819,11420,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/l9gi5h1504820724.jpg,Old-fashioned glass,,Gin,,,,,,,Water,Powdered sugar,Lemon peel,,,,,,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",2 oz ,,,,,,,2 tsp ,0.5 tsp ,1 twist of , , , , , ,
273,Girl From Ipanema,42572.40547,17175,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xypspq1469090633.jpg,Wine Glass,,Cachaca,,,,,,,Lemon Juice,Agave Syrup,Champagne,,,,,,"Add the cachaca, lemon juice and syrup to your boston glass. Add ice and shake until ice cold. Pour into a chilled flute and top-up with Champagne",25 ml,,,,,,,15 ml,10 ml,top up with,,,,,,
274,Gluehwein,42569.91456,12944,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,Irish coffee cup,,Red wine,,,,,,,Water,Sugar,Cinnamon,Cloves,Lemon peel,,,,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",1 Liter  , , ,,,,,125 ml ,60 gr ,1,3,1 tblsp , , , ,
275,Godchild,42985.94941,11422,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg,Champagne flute,,Vodka,,,,,,,Amaretto,Heavy cream,,,,,,,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",1 oz ,,,,,,,1 oz ,1 oz , , , , , ,,
276,Godfather,42980.71907,11423,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/r74uz51504368928.jpg,Old-fashioned glass,Contemporary Classics,Scotch,,,,,,,Amaretto,,,,,,,,Pour all ingredients directly into old fashioned glass filled with ice count. Stir gently.,0.5 oz ,,,,,,,0.75 oz , , , , , ,,,
277,Godmother,42980.71972,11424,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4889up1504368984.jpg,Old-fashioned glass,,Vodka,,,,,,,Amaretto,,,,,,,,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,0.5 oz ,,,,,,,0.75 oz , , , , , ,,,
278,Golden dream,42980.72483,17199,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrot6j1504369425.jpg,Cocktail glass,Contemporary Classics,Galliano,,,,,,,Triple Sec,orange juice,Cream,,,,,,Shake with cracked ice. Strain into glass and serve.,2 parts,,,,,,,2 parts,2 parts,1 part, , , , , ,
279,Grand Blue,42614.89524,15427,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg,Old-fashioned glass,,Malibu rum,,,,,,,Peach schnapps,Blue Curacao,Sweet and sour,,,,,,Serve in an old fashioned glass.,0.5 cl ,,,,,,,0.5 cl ,0.5 cl ,3 cl , , , , , ,
280,Grape lemon pineapple Smoothie,42786.63406,12712,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/54z5h71487603583.jpg,Highball glass,,Grapes,,,,,,,Lemon,Pineapple,,,,,,,Throw everything into a blender and liquify.,1 cup ,,,,,,,0.25 count,0.5, , , , , ,,
281,Grass Skirt,42627.97206,11433,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg,Old-fashioned glass,,Gin,,,,,,,Triple sec,Pineapple juice,Grenadine,Pineapple,,,,,"In a shaker half-filled with ice count, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",0.5 oz , ,,,,,,1 oz ,1 oz ,0.5 tsp ,1, , , , ,
282,Grasshopper,42980.727,17200,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,Cocktail glass,Contemporary Classics,Green Creme de Menthe,,,,,,,Creme de Cacao,Light cream,,,,,,,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,0.75 oz ,,,,,,,0.75 oz white ,0.75 oz , , , , , ,,
283,Green Goblin,42403.62407,13497,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg,Pint glass,,Cider,,,,,,,Lager,Blue Curacao,,,,,,,"Cider First, Lager then Curacao",0.5 pint hard ,,,,,,,0.5 pint ,1 shot , , , , , ,,
284,Grim Reaper,42986.6712,14642,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,Old-fashioned glass,,Kahlua,,,,,,,151 proof rum,Grenadine,,,,,,,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,1 oz ,,,,,,,1 oz Bacardi ,1 dash , , , , , ,,
285,Grizzly Bear,42786.62211,12762,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg,Collins Glass,,Amaretto,,,,,,,Jagermeister,Kahlua,Milk,,,,,,"Served over ice. Sounds nasty, but tastes great.",1 part ,,,,,,,1 part ,1 part ,0.5 parts , , , , , ,
286,H.D.,42613.80993,16262,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,Beer mug,,Whisky,,,,,,,Bailey's irish cream,Coffee,,,,,,,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,4 cl ,,,,,,,8 cl ,"
","
","
","
","
","
",,
287,Happy Skipper,42786.62094,12766,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg,Highball glass,,Spiced rum,,,,,,,Ginger ale,Lime,Ice,,,,,,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",0.5 cl ,,,,,,,"fill
","1 slice
","fill
","
","
","
","
",,
288,Harvey Wallbanger,42980.7283,11462,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vg4bva1504369725.jpg,Collins glass,Contemporary Classics,Vodka,,,,,,,Galliano,Orange juice,,,,,,,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",1 oz ,,,,,,,0.5 oz ,4 oz , , , , , ,,
289,Havana Cocktail,42986.66782,11470,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,Cocktail glass,,Light rum,,,,,,,Pineapple juice,Lemon juice,,,,,,,"In a shaker half-filled with ice count, combine all of the ingredients. Shake well. Strain into a cocktail glass.",1 oz ,,,,,,,1 oz ,1 tsp , , , , , ,,
290,Hawaiian Cocktail,42986.66883,11472,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,Cocktail glass,,Gin,,,,,,,Triple sec,Pineapple juice,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",2 oz ,,,,,,,0.5 oz ,1 tblsp , , , , , ,,
291,Hemingway Special,42980.73019,17201,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,Cocktail glass,Contemporary Classics,Rum,,,,,,,Grapefruit Juice,Maraschino Liqueur,Lime Juice,,,,,,Pour all ingredients into a shaker with ice. Shake.,12 parts,,,,,,,8 parts,3 parts,3 parts, , , , , ,
292,Herbal flame,42250.13176,15813,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg,Mason jar,,Hot Damn,,,,,,,Tea,,,,,,,,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.",5 shots ,,,,,,,"fill
", , , , , ,,,
293,Highland Fling Cocktail,42848.85131,11476,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,Cocktail glass,,Scotch,,,,,,,Sweet Vermouth,Orange bitters,Olive,,,,,,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,0.5 oz ,,,,,,,0.75 oz ,2 dashes ,1, , , , , ,
295,Homemade Kahlua,42250.22251,17044,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,Collins Glass,,Sugar,,,,,,,Corn syrup,Coffee,Vanilla extract,Water,Vodka,,,,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4 weeks.",0.5 cups , , ,,,,,1 cup ,0.5 oz instant ,2 oz ,3 cups boiling ,1 fifth , , , ,
296,Horse's Neck,42980.73255,17202,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,Highball glass,Contemporary Classics,Lemon peel,,,,,,,Brandy,Ginger ale,Bitters,,,,,,"Pour brandy and ginger ale directly into highball glass with ice count. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",3 inch,,,,,,,2 oz ,5 oz ,2 dashes , , , , , ,
297,Hot Chocolate to Die for,42786.62924,12738,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,Coffee mug,,Chocolate,,,,,,,Butter,Vanilla extract,Half-and-half,Marshmallows,,,,,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.",12 oz fine , ,,,,,,1 tsp ,0.5 tsp ,1 cup ,fill, , , , ,
298,Hot Creamy Bush,42613.81061,14782,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg,Irish coffee cup,,Irish whiskey,,,,,,,Bailey's irish cream,Coffee,,,,,,,Combine all ingredients in glass,1 shot ,,,,,,,0.75 shot ,6 oz hot , , , , , ,,
299,Ice Pick #1,42572.41813,13539,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg,Collins Glass,,Vodka,,,,,,,Iced tea,Lemon juice,,,,,,,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,0.5 oz ,,,,,,,6 oz ," to taste
","
","
","
","
","
",,
300,Iced Coffee,42403.6511,12770,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,Coffee mug,,Coffee,,,,,,,Sugar,Water,Milk,,,,,,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,0.25 cup instant ,,,,,,,0.25 cup ,0.25 cup hot ,4 cups cold , , , , , ,
301,Iced Coffee Fillip,42403.65536,12772,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg,Coffee mug,,Kahlua,,,,,,,Coffee,,,,,,,,Mix together in a coffee mug and chill before serving.,2 tsp ,,,,,,,"fill
", , , , , ,,,
302,Imperial Cocktail,42786.63455,12706,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,Cocktail glass,,Lime juice,,,,,,,Gin,Aperol,,,,,,,Shake with ice and strain into cocktail glass.,4 cl ,,,,,,,2 cl ,4 cl , , , , , ,,
303,Imperial Fizz,42986.6869,11524,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,Highball glass,,Light rum,,,,,,,Blended whiskey,Lemon,Powdered sugar,Carbonated water,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice count. Fill with carbonated water, stir, and serve.",0.5 oz ,"
",,,,,,0.5 oz ,0.5 count,1 tsp ,"
","
","
","
","
",
304,Ipamena,42572.40963,17176,Non Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,Wine Glass,,Lime,,,,,,,Brown sugar,Passion fruit juice,Ginger ale,Ice,,,,,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice count. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",0.5 count,,,,,,,2 tsp,4 cl,top up with,fill,,,,,
305,Irish Coffee,42234.63193,13971,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,Irish coffee cup,Contemporary Classics,Irish whiskey,,,,,,,Coffee,Sugar,Whipped cream,,,,,,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",0.5 oz ,,,,,,,8 oz ,1 tsp ,1 tblsp , , , , , ,
306,Irish Cream,42986.68865,12820,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg,Irish coffee cup,,Scotch,,,,,,,Half-and-half,Condensed milk,Coconut syrup,Chocolate syrup,,,,,Mix scotch and milk. Add half-and-half. Add rest.,1 cup , ,,,,,,0.25 cup ,1 can sweetened ,3 drops ,1 tblsp , , , , ,
307,Irish Curdling Cow,42971.39965,16987,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,Highball glass,,Bailey's irish cream,,,,,,,Bourbon,Vodka,Orange juice,,,,,,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",0.75 oz ,,,,,,,0.75 oz ,0.75 oz ,3 oz , , , , , ,
308,Irish Russian,42403.63808,17015,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,Highball glass,,Vodka,,,,,,,Kahlua,Coca-Cola,Guinness stout,,,,,,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,1 shot ,,,,,,,1 shot ,1 dash ,Fill with , , , , , ,
309,Irish Spring,42986.68962,11528,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,Collins glass,,Irish whiskey,,,,,,,Peach brandy,Orange juice,Sweet and sour,Orange,Cherry,,,,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice count. Garnish with the slice of orange, add the cherry on top, and serve.",1 oz , , ,,,,,0.5 oz ,1 oz ,1 oz ,1 slice ,1, , , ,
310,Jack Rose Cocktail,42234.63273,11542,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,Cocktail glass,,Apple brandy,,,,,,,Grenadine,Lime,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",0.5 oz ,,,,,,,1 tsp ,0.5 count, , , , , ,,
311,Jack's Vanilla Coke,42985.63101,16275,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,Old-fashioned glass,,Ice,,,,,,,Tennessee whiskey,Vanilla extract,Coca-Cola,,,,,,"After pouring in your ingredients, and adding 3 ice count, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",4 count,,,,,,,2 oz ,1 tsp ,11 oz , , , , , ,
312,Jackhammer,42980.95019,13847,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,Collins Glass,,Jack Daniels,,,,,,,Amaretto,,,,,,,,"Serve over ice- Warning,Deadly!",1 oz ,,,,,,,1 oz , , , , , ,,,
313,Jam Donut,42629.68755,17178,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,Shot glass,,Baileys irish cream,,,,,,,Chambord raspberry liqueur,Sugar syrup,Sugar,,,,,,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",0.66 oz,,,,,,,0.33 oz,1 tsp,2 pinches,,,,,,
314,Jamaica Kiss,42250.17071,14095,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,Hurricane glass,,Coffee liqueur,,,,,,,Light rum,Ice,Milk,,,,,,Fill a tumbler with ice count. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,1 shot ,,,,,,,1 shot Jamaican ," count
","
","
","
","
","
","
",
315,Jamaican Coffee,42250.14418,15825,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg,Champagne flute,,Rum,,,,,,,Coffee,Water,Whipped cream,,,,,,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.",0.166 glass ,,,,,,,0.166 glass strong black ,0.5 glass cold ,"
","
","
","
","
","
",
316,Japanese Fizz,42986.69017,11558,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,Highball glass,,Blended whiskey,,,,,,,Lemon,Powdered sugar,Port,Egg white,Carbonated water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice count. Fill with carbonated water, stir, and serve.",0.5 oz ,"
","
",,,,,0.5 count,1 tsp ,1 tblsp ,1,"
","
","
","
",
318,Jelly Bean,42980.94904,13775,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg,Cordial glass,,Blackberry brandy,,,,,,,Anis,,,,,,,,mix equal parts in pony glass-tastes just like a jelly bean!,1 oz ,,,,,,,1 oz , , , , , ,,,
319,Jewel Of The Nile,42986.69153,11566,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,Cocktail glass,,Gin,,,,,,,Green Chartreuse,Yellow Chartreuse,,,,,,,"In a mixing glass half-filled with ice count, combine all of the ingredients. Stir well. Strain into a cocktail glass.",0.5 oz ,,,,,,,0.5 oz ,0.5 oz , , , , , ,,
320,Jitterbug,42250.12174,16178,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,Cocktail Glass,,Gin,,,,,,,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",2 oz, , , ,,,,1 oz,3 dashes ,1 shot ,1 pinch ,3 dashes ,1 dash, , ,
321,John Collins,42980.50314,11580,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg,Collins glass,,Bourbon,,,,,,,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,2 oz , , ,,,,,1 oz ,1 tsp superfine ,3 oz ,1,1, , , ,
323,Kamikaze,42980.76856,11600,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg,Cocktail glass,New Era Drinks,Vodka,,,,,,,Triple sec,Lime juice,,,,,,,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",1 oz ,,,,,,,1 oz ,1 oz , , , , , ,,
324,Karsk,42786.62119,12764,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,Highball glass,,Coffee,,,,,,,Grain alcohol,,,,,,,,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",1 part ,,,,,,,2 parts , , , , , ,,,
325,Kentucky B And B,42684.97495,11602,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,Brandy snifter,,Bourbon,,,,,,,Benedictine,,,,,,,,Pour the bourbon and Benedictine into a brandy snifter.,2 oz ,,,,,,,0.5 oz , , , , , ,,,
326,Kentucky Colonel,42684.97625,11604,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,Cocktail glass,,Bourbon,,,,,,,Benedictine,Lemon peel,,,,,,,In a shaker half-filled with ice count combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,3 oz ,,,,,,,0.5 oz ,1 twist of , , , , , ,,
327,Kill the cold Smoothie,42786.63212,12720,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,Highball glass,,Ginger,,,,,,,Lemon,Water,,,,,,,Juice ginger and lemon and add it to hot water. You may add cardomom.,1 inch ,,,,,,,0.25 count,1 cup hot , , , , , ,,
328,Kioki Coffee,42250.14553,16951,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg,Coffee mug,,Kahlua,,,,,,,Brandy,Coffee,,,,,,,Stir. Add whipped cream to the top.,1 oz ,,,,,,,0.5 oz ,"
","
","
","
","
","
",,
329,Kir,42980.73488,17203,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,Wine Glass,,Creme de Cassis,,,,,,,Champagne,,,,,,,,"Add the creme de cassis to the bottom of the glass, then top up with wine.",1 part ,,,,,,,5 parts , , , , , ,,,
330,Kir Royale,42980.73597,13837,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,Champagne Flute,,Creme de Cassis,,,,,,,Champagne,,,,,,,,"Pour Creme de cassis in glass, gently pour champagne on top",1 part ,,,,,,,5 parts , , , , , ,,,
331,Kiss me Quick,42986.69351,15026,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg,Highball glass,,Cranberry vodka,,,,,,,Apfelkorn,Schweppes Russchian,Apple juice,Ice,,,,,mix in the glass,4 cl ,"
",,,,,,2 cl ,7 cl ,8 cl ," 1 count
","
","
","
","
",
332,Kiwi Lemon,42678.39464,14752,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,Highball glass,,Kiwi liqueur,,,,,,,Bitter lemon,Ice,,,,,,,Mix in highball glass. Stirr. Garnish with slice of kiwi.,1 part ,,,,,,,2 parts ," count
","
","
","
","
","
",,
333,Kiwi Papaya Smoothie,42786.63392,12714,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,Highball Glass,,Kiwi,,,,,,,Papaya,,,,,,,,Throw everything into a blender and liquify.,3,,,,,,,0.5, , , , , ,,,
334,Kool First Aid,42971.41231,17006,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,Shot glass,,151 proof rum,,,,,,,Kool-Aid,,,,,,,,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",2 oz light ,,,,,,,0.5 tsp Tropical , , , , , ,,,
335,Kool-Aid Shot,42971.41396,13190,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,Old-fashioned glass,,Vodka,,,,,,,Amaretto,Sloe gin,Triple sec,Cranberry juice,,,,,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,1 shot ,"
",,,,,,1 shot ,1 shot ,1 shot ,"
","
","
","
","
",
336,Kool-Aid Slammer,42984.96149,14446,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,Shot glass,,Kool-Aid,,,,,,,Vodka,,,,,,,,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",0.5 oz Grape ,,,,,,,0.5 oz , , , , , ,,,
337,Kurant Tea,42250.14657,14456,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg,Champagne flute,,Absolut Kurant,,,,,,,Tea,Sugar,,,,,,,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!",4 cl ,,,,,,,"fill
","1 tsp
","
","
","
","
","
",,
